claim_id,doc,location,printed,kind,spec
main-0045,main,Table 1,1,non_result,"{""note"": ""caption cross-references to Table S1 / Additional file 1""}"
main-0046,main,Table 1,1,non_result,"{""note"": ""caption cross-references to Table S1 / Additional file 1""}"
main-0047,main,Table 1,nine,derived,"{""check"": ""n_real_query_batches"", ""value"": 9}"
main-0048,main,Table 1,1,non_result,"{""note"": ""caption cross-references to Additional file 1 / Table S1""}"
main-0049,main,Table 1,1,non_result,"{""note"": ""caption cross-references to Additional file 1 / Table S1""}"
main-0050,main,3.2 Preprocessing,40,static,"{""check"": ""solar_pca_components"", ""note"": """", ""value"": 40}"
main-0051,main,3.2 Preprocessing,30-dimensional,static,"{""check"": ""embedding_dim_common"", ""note"": """", ""value"": 30}"
main-0052,main,3.2 Preprocessing,128-dimensional,static,"{""check"": ""embedding_dim_anchor"", ""note"": """", ""value"": 128}"
main-0053,main,3.2 Preprocessing,30-component,static,"{""check"": ""pca30_components"", ""note"": """", ""value"": 30}"
main-0054,main,3.2 Preprocessing,40-component,static,"{""check"": ""pca_dims"", ""note"": """", ""value"": [30, 40]}"
main-0055,main,3.3 Encoder and anchors,three-layer,static,"{""check"": ""n_linear_layers"", ""note"": """", ""value"": 3}"
main-0056,main,3.3 Encoder and anchors,two 512-unit hidden layers,static,"{""check"": ""hidden_dim"", ""note"": """", ""value"": 512}"
main-0057,main,3.3 Encoder and anchors,two hidden layers,static,"{""check"": ""n_hidden_layers"", ""note"": """", ""value"": 2}"
main-0058,main,3.3 Encoder and anchors,"batch normalization, ReLU, dropout, linear projection, layer normalization, final l2 normalization",assertion,"{""check"": ""encoder_layout""}"
main-0059,main,3.3 Encoder and anchors,0.1,static,"{""check"": ""dropout"", ""note"": """", ""value"": 0.1}"
main-0060,main,3.3 Encoder and anchors,30-dimensional,static,"{""check"": ""embedding_dim_common"", ""note"": """", ""value"": 30}"
main-0061,main,3.3 Encoder and anchors,128-dimensional,static,"{""check"": ""embedding_dim_anchor"", ""note"": """", ""value"": 128}"
main-0062,main,3.3 Encoder and anchors,"no reconstruction decoder, batch-adversarial component, or classification head",assertion,"{""check"": ""no_decoder_or_head""}"
main-0063,main,3.3 Encoder and anchors,"d >= K; Gaussian G, reduced QR; fixed anchor bank never updated",assertion,"{""check"": ""orthogonal_anchors""}"
main-0064,main,3.3 Encoder and anchors,2,non_result,"{""note"": ""equation number (2), U^T U = I_K, u_k^T u_l = 0""}"
main-0065,main,3.3 Encoder and anchors,2,non_result,"{""note"": ""equation number (2), U^T U = I_K, u_k^T u_l = 0""}"
main-0066,main,3.3 Encoder and anchors,0,non_result,"{""note"": ""equation number (2), U^T U = I_K, u_k^T u_l = 0""}"
main-0067,main,3.4 Objective,"V = 2B repeated, B + K_B unique, B none",assertion,"{""check"": ""anchor_pools""}"
main-0068,main,3.4 Objective,1,non_result,"{""note"": ""Eq. (3) index ranges 1<=a<=B, B<a<=2B and equation number""}"
main-0069,main,3.4 Objective,1,non_result,"{""note"": ""Eq. (3) index ranges 1<=a<=B, B<a<=2B and equation number""}"
main-0070,main,3.4 Objective,2,non_result,"{""note"": ""Eq. (3) index ranges 1<=a<=B, B<a<=2B and equation number""}"
main-0071,main,3.4 Objective,3,non_result,"{""note"": ""Eq. (3) index ranges 1<=a<=B, B<a<=2B and equation number""}"
main-0072,main,3.4 Objective,1,non_result,"{""note"": ""{1, ..., V} in C(a)""}"
main-0073,main,3.4 Objective,"Eqs. (4)-(5): cosine offset before temperature, index self-exclusion, all-view mean",assertion,"{""check"": ""loss_definition""}"
main-0074,main,3.4 Objective,4,non_result,"{""note"": ""equation number (4); 1[.] equals 1 when true and 0 otherwise""}"
main-0075,main,3.4 Objective,1,non_result,"{""note"": ""equation number (4); 1[.] equals 1 when true and 0 otherwise""}"
main-0076,main,3.4 Objective,1,non_result,"{""note"": ""equation number (4); 1[.] equals 1 when true and 0 otherwise""}"
main-0077,main,3.4 Objective,0,non_result,"{""note"": ""equation number (4); 1[.] equals 1 when true and 0 otherwise""}"
main-0078,main,3.4 Objective,4,non_result,"{""note"": ""Eq. (4) cross-reference""}"
main-0079,main,3.4 Objective,τ = 0.07,static,"{""check"": ""temperature"", ""note"": """", ""value"": 0.07}"
main-0080,main,3.4 Objective,m = 0.2,static,"{""check"": ""margin"", ""note"": """", ""value"": 0.2}"
main-0081,main,3.4 Objective,3.5,non_result,"{""note"": ""section cross-reference""}"
main-0082,main,3.4 Objective,1,non_result,"{""note"": ""Eq. (5): 1/V, 1/|Pos(a)|, |Pos(a)|>0, 0 case, equation number and cross-reference""}"
main-0083,main,3.4 Objective,1,non_result,"{""note"": ""Eq. (5): 1/V, 1/|Pos(a)|, |Pos(a)|>0, 0 case, equation number and cross-reference""}"
main-0084,main,3.4 Objective,0,non_result,"{""note"": ""Eq. (5): 1/V, 1/|Pos(a)|, |Pos(a)|>0, 0 case, equation number and cross-reference""}"
main-0085,main,3.4 Objective,0,non_result,"{""note"": ""Eq. (5): 1/V, 1/|Pos(a)|, |Pos(a)|>0, 0 case, equation number and cross-reference""}"
main-0086,main,3.4 Objective,5,non_result,"{""note"": ""Eq. (5): 1/V, 1/|Pos(a)|, |Pos(a)|>0, 0 case, equation number and cross-reference""}"
main-0087,main,3.4 Objective,5,non_result,"{""note"": ""Eq. (5): 1/V, 1/|Pos(a)|, |Pos(a)|>0, 0 case, equation number and cross-reference""}"
main-0088,main,3.5 Training,90%,static,"{""check"": ""train_size"", ""note"": """", ""value"": 0.9}"
main-0089,main,3.5 Training,10%,static,"{""check"": ""validation_fraction"", ""note"": """", ""value"": 0.1}"
main-0090,main,3.5 Training,10−4,static,"{""check"": ""learning_rate"", ""note"": """", ""value"": 0.0001}"
main-0091,main,3.5 Training,512,static,"{""check"": ""batch_size"", ""note"": """", ""value"": 512}"
main-0092,main,3.5 Training,0.07,static,"{""check"": ""temperature"", ""note"": """", ""value"": 0.07}"
main-0093,main,3.5 Training,0.2,static,"{""check"": ""margin"", ""note"": """", ""value"": 0.2}"
main-0094,main,3.5 Training,1.0,static,"{""check"": ""gradient_clip_norm"", ""note"": """", ""value"": 1.0}"
main-0095,main,3.5 Training,zero weight decay,static,"{""check"": ""weight_decay"", ""note"": """", ""value"": 0.0}"
main-0096,main,3.5 Training,10 epochs,static,"{""check"": ""patience"", ""note"": """", ""value"": 10}"
main-0097,main,3.5 Training,10−4,static,"{""check"": ""min_delta"", ""note"": """", ""value"": 0.0001}"
main-0098,main,3.5 Training,50 epochs,static,"{""check"": ""max_epochs"", ""note"": """", ""value"": 50}"
main-0099,main,3.5 Training,40–44,static,"{""check"": ""model_seeds"", ""note"": """", ""value"": [40, 41, 42, 43, 44]}"
main-0100,main,3.5 Training,The best validation checkpoint is restored,assertion,"{""check"": ""best_checkpoint""}"
main-0101,main,Figure 1,1,non_result,"{""note"": ""figure number""}"
main-0102,main,3.6 Comparators,"SCLSC: stratified 90:10 split, class representatives, final epoch retained",assertion,"{""check"": ""sclsc_final_epoch""}"
main-0103,main,3.6 Comparators,90:10,static,"{""check"": ""sclsc_validation_fraction"", ""note"": """", ""value"": 0.1}"
main-0104,main,3.6 Comparators,"normalized expression matrix with reference-only selection of 2,000 genes",assertion,"{""check"": ""sclsc_normalized_input""}"
main-0105,main,3.6 Comparators,"2,000",static,"{""check"": ""n_hvg"", ""note"": """", ""value"": 2000}"
main-0106,main,3.6 Comparators,1,non_result,"{""note"": ""Additional file 1""}"
main-0107,main,3.6 Comparators,30-dimensional,static,"{""check"": ""common_dim"", ""note"": """", ""value"": 30}"
main-0108,main,3.6 Comparators,five fits per held-out batch (SOLAR),derived,"{""check"": ""fits_per_batch"", ""dim"": 30, ""method"": ""solar_orthogonal"", ""value"": [5]}"
main-0109,main,3.6 Comparators,five fits per held-out batch (SCLSC),derived,"{""check"": ""fits_per_batch"", ""dim"": 30, ""method"": ""sclsc_refonly"", ""value"": [5]}"
main-0110,main,3.6 Comparators,one deterministic fit,derived,"{""check"": ""fits_per_batch"", ""dim"": 30, ""method"": ""unintegrated_pca_matched"", ""value"": [1]}"
main-0111,main,3.6 Comparators,30-dimensional frozen-reference encoders,static,"{""check"": ""refmap_dims"", ""note"": """", ""value"": 30}"
main-0112,main,3.6 Comparators,15-nearest-neighbour,static,"{""check"": ""knn_neighbors"", ""note"": """", ""value"": 15}"
main-0113,main,3.6 Comparators,40,static,"{""check"": ""solar_pca_components"", ""note"": """", ""value"": 40}"
main-0114,main,3.6 Comparators,1,non_result,"{""note"": ""Additional file 1; F1 in macro-F1""}"
main-0115,main,3.6 Comparators,1,non_result,"{""note"": ""Additional file 1; F1 in macro-F1""}"
main-0116,main,3.6 Comparators,1,non_result,"{""note"": ""Additional file 1; F1 in macro-F1""}"
main-0117,main,3.6 Comparators,1,non_result,"{""note"": ""Additional file 1; F1 in macro-F1""}"
main-0118,main,3.6 Comparators,128-dimensional,static,"{""check"": ""anchor_control_dim"", ""note"": """", ""value"": 128}"
main-0119,main,3.6 Comparators,1,non_result,"{""note"": ""Additional file 1""}"
main-0120,main,3.7 Metrics,1,non_result,"{""note"": ""macro-F1 formula 2TP/(2TP+FP+FN), |C_Q|^-1, [0, 1]""}"
main-0121,main,3.7 Metrics,1,non_result,"{""note"": ""macro-F1 formula 2TP/(2TP+FP+FN), |C_Q|^-1, [0, 1]""}"
main-0122,main,3.7 Metrics,2,non_result,"{""note"": ""macro-F1 formula 2TP/(2TP+FP+FN), |C_Q|^-1, [0, 1]""}"
main-0123,main,3.7 Metrics,2,non_result,"{""note"": ""macro-F1 formula 2TP/(2TP+FP+FN), |C_Q|^-1, [0, 1]""}"
main-0124,main,3.7 Metrics,1,non_result,"{""note"": ""macro-F1 formula 2TP/(2TP+FP+FN), |C_Q|^-1, [0, 1]""}"
main-0125,main,3.7 Metrics,0,non_result,"{""note"": ""macro-F1 formula 2TP/(2TP+FP+FN), |C_Q|^-1, [0, 1]""}"
main-0126,main,3.7 Metrics,1,non_result,"{""note"": ""macro-F1 formula 2TP/(2TP+FP+FN), |C_Q|^-1, [0, 1]""}"
main-0127,main,3.7 Metrics,1,non_result,"{""note"": ""(s+1)/2 in [0,1]; batch ASW 1-|s|; [0,1]""}"
main-0128,main,3.7 Metrics,2,non_result,"{""note"": ""(s+1)/2 in [0,1]; batch ASW 1-|s|; [0,1]""}"
main-0129,main,3.7 Metrics,0,non_result,"{""note"": ""(s+1)/2 in [0,1]; batch ASW 1-|s|; [0,1]""}"
main-0130,main,3.7 Metrics,1,non_result,"{""note"": ""(s+1)/2 in [0,1]; batch ASW 1-|s|; [0,1]""}"
main-0131,main,3.7 Metrics,1,non_result,"{""note"": ""(s+1)/2 in [0,1]; batch ASW 1-|s|; [0,1]""}"
main-0132,main,3.7 Metrics,1,non_result,"{""note"": ""(s+1)/2 in [0,1]; batch ASW 1-|s|; [0,1]""}"
main-0133,main,3.7 Metrics,0,non_result,"{""note"": ""(s+1)/2 in [0,1]; batch ASW 1-|s|; [0,1]""}"
main-0134,main,3.7 Metrics,1,non_result,"{""note"": ""(s+1)/2 in [0,1]; batch ASW 1-|s|; [0,1]""}"
main-0135,main,3.7 Metrics,15-neighbour graph,static,"{""check"": ""graph_neighbors"", ""note"": """", ""value"": 15}"
main-0136,main,3.7 Metrics,90 cells,static,"{""check"": ""lisi_k0"", ""note"": """", ""value"": 90}"
main-0137,main,3.7 Metrics,50%,static,"{""check"": ""lisi_subsample_percent"", ""note"": """", ""value"": 50}"
main-0138,main,3.7 Metrics,1,non_result,"{""note"": ""median(1/sum p^2) - 1; nominal range [0, n_b - 1]; Additional file 1""}"
main-0139,main,3.7 Metrics,2,non_result,"{""note"": ""median(1/sum p^2) - 1; nominal range [0, n_b - 1]; Additional file 1""}"
main-0140,main,3.7 Metrics,1,non_result,"{""note"": ""median(1/sum p^2) - 1; nominal range [0, n_b - 1]; Additional file 1""}"
main-0141,main,3.7 Metrics,0,non_result,"{""note"": ""median(1/sum p^2) - 1; nominal range [0, n_b - 1]; Additional file 1""}"
main-0142,main,3.7 Metrics,1,non_result,"{""note"": ""median(1/sum p^2) - 1; nominal range [0, n_b - 1]; Additional file 1""}"
main-0143,main,3.7 Metrics,1,non_result,"{""note"": ""median(1/sum p^2) - 1; nominal range [0, n_b - 1]; Additional file 1""}"
main-0144,main,3.7 Metrics,50-dimensional,static,"{""check"": ""trust_source_components"", ""note"": """", ""value"": 50}"
main-0145,main,3.7 Metrics,40,non_result,"{""note"": ""target labels Matched PCA (40D) and (30D); checked via pca_dims""}"
main-0146,main,3.7 Metrics,30,non_result,"{""note"": ""target labels Matched PCA (40D) and (30D); checked via pca_dims""}"
main-0147,main,3.7 Metrics,k = 15,static,"{""check"": ""trust_neighbors"", ""note"": """", ""value"": 15}"
main-0148,main,3.7 Metrics,0,non_result,"{""note"": ""range [0, 1]""}"
main-0149,main,3.7 Metrics,1,non_result,"{""note"": ""range [0, 1]""}"
main-0150,main,3.7 Metrics,"6,000",static,"{""check"": ""trust_max_cells"", ""note"": """", ""value"": 6000}"
main-0151,main,3.7 Metrics,1,non_result,"{""note"": ""Additional file 1""}"
main-0152,main,3.7 Metrics,15 neighbouring cells,static,"{""check"": ""pseudotime_neighbors"", ""note"": """", ""value"": 15}"
main-0153,main,3.7 Metrics,At least 16 annotated cells,static,"{""check"": ""pseudotime_min_cells"", ""note"": """", ""value"": 16}"
main-0154,main,3.7 Metrics,1,non_result,"{""note"": ""range [-1, 1]; Additional file 1; 0 to 1; [-1, 1]""}"
main-0155,main,3.7 Metrics,1,non_result,"{""note"": ""range [-1, 1]; Additional file 1; 0 to 1; [-1, 1]""}"
main-0156,main,3.7 Metrics,1,non_result,"{""note"": ""range [-1, 1]; Additional file 1; 0 to 1; [-1, 1]""}"
main-0157,main,3.7 Metrics,1,non_result,"{""note"": ""range [-1, 1]; Additional file 1; 0 to 1; [-1, 1]""}"
main-0158,main,3.7 Metrics,0,non_result,"{""note"": ""range [-1, 1]; Additional file 1; 0 to 1; [-1, 1]""}"
main-0159,main,3.7 Metrics,1,non_result,"{""note"": ""range [-1, 1]; Additional file 1; 0 to 1; [-1, 1]""}"
main-0160,main,3.7 Metrics,1,non_result,"{""note"": ""range [-1, 1]; Additional file 1; 0 to 1; [-1, 1]""}"
main-0161,main,3.7 Metrics,1,non_result,"{""note"": ""range [-1, 1]; Additional file 1; 0 to 1; [-1, 1]""}"
main-0162,main,3.7 Metrics,three evaluated batches,derived,"{""check"": ""n_heldout_batches_per_dataset"", ""value"": 3}"
main-0163,main,3.7 Metrics,nine batch means,derived,"{""check"": ""n_real_query_batches"", ""value"": 9}"
main-0164,main,3.7 Metrics,nine means,derived,"{""check"": ""n_real_query_batches"", ""value"": 9}"
main-0165,main,3.7 Metrics,five seeds,static,"{""check"": ""required_seed_count"", ""note"": """", ""value"": 5}"
main-0166,main,4.1 Results,30-dimensional,static,"{""check"": ""common_dim"", ""note"": """", ""value"": 30}"
main-0167,main,4.1 Results,0.811,summary,"{""dim"": 30, ""method"": ""solar_orthogonal"", ""metric"": ""macro_f1"", ""population"": ""query"", ""stat"": ""mean""}"
main-0168,main,4.1 Results,0.837,summary,"{""dim"": 30, ""method"": ""solar_orthogonal"", ""metric"": ""balanced_accuracy"", ""population"": ""query"", ""stat"": ""mean""}"
main-0169,main,4.1 Results,nine,derived,"{""check"": ""n_real_query_batches"", ""value"": 9}"
main-0170,main,4.1 Results,2,non_result,"{""note"": ""Table 2""}"
main-0171,main,4.1 Results,0.774,summary,"{""dim"": 30, ""method"": ""unintegrated_pca_matched"", ""metric"": ""macro_f1"", ""population"": ""query"", ""stat"": ""mean""}"
main-0172,main,4.1 Results,0.803,summary,"{""dim"": 30, ""method"": ""unintegrated_pca_matched"", ""metric"": ""balanced_accuracy"", ""population"": ""query"", ""stat"": ""mean""}"
main-0173,main,4.1 Results,The gain in macro-F1 was positive on average within each of the three datasets,assertion,"{""check"": ""positive_within_each_dataset""}"
main-0174,main,4.1 Results,2,non_result,"{""note"": ""Figure 2A/2B, Figure S4, Table S3, Additional file 1""}"
main-0175,main,4.1 Results,2,non_result,"{""note"": ""Figure 2A/2B, Figure S4, Table S3, Additional file 1""}"
main-0176,main,4.1 Results,4,non_result,"{""note"": ""Figure 2A/2B, Figure S4, Table S3, Additional file 1""}"
main-0177,main,4.1 Results,3,non_result,"{""note"": ""Figure 2A/2B, Figure S4, Table S3, Additional file 1""}"
main-0178,main,4.1 Results,1,non_result,"{""note"": ""Figure 2A/2B, Figure S4, Table S3, Additional file 1""}"
main-0179,main,4.1 Results,0.815,summary,"{""dim"": 30, ""method"": ""sclsc_refonly"", ""metric"": ""macro_f1"", ""population"": ""query"", ""stat"": ""mean""}"
main-0180,main,4.1 Results,0.838,summary,"{""dim"": 30, ""method"": ""frozen_reference_scanvi"", ""metric"": ""macro_f1"", ""population"": ""query"", ""stat"": ""mean""}"
main-0181,main,4.1 Results,0.882,summary,"{""dim"": 30, ""method"": ""frozen_reference_scanvi"", ""metric"": ""balanced_accuracy"", ""population"": ""query"", ""stat"": ""mean""}"
main-0182,main,4.1 Results,scANVI produced higher macro-F1 and balanced accuracy than SOLAR,assertion,"{""check"": ""scanvi_higher""}"
main-0183,main,4.1 Results,Villani errors concentrated in CD16+ monocytes,assertion,"{""check"": ""villani_cd16""}"
main-0184,main,4.1 Results,despite complete reference-label coverage,assertion,"{""check"": ""closed_label""}"
main-0185,main,4.1 Results,16,non_result,"{""note"": ""CD16+ label text, Figure S2, Additional file 1""}"
main-0186,main,4.1 Results,2,non_result,"{""note"": ""CD16+ label text, Figure S2, Additional file 1""}"
main-0187,main,4.1 Results,1,non_result,"{""note"": ""CD16+ label text, Figure S2, Additional file 1""}"
main-0188,main,Figure 2A,+0.033,derived,"{""check"": ""fig2a"", ""dataset"": ""immune_cell_human"", ""format"": ""signed3""}"
main-0189,main,Figure 2A,+0.029,derived,"{""check"": ""fig2a"", ""dataset"": ""lung_atlas"", ""format"": ""signed3""}"
main-0190,main,Figure 2A,+0.050,derived,"{""check"": ""fig2a"", ""dataset"": ""pancreas"", ""format"": ""signed3""}"
main-0191,main,Figure 2A,0,non_result,"{""note"": ""axis tick label""}"
main-0192,main,Figure 2A,0.02,non_result,"{""note"": ""axis tick label""}"
main-0193,main,Figure 2A,0.04,non_result,"{""note"": ""axis tick label""}"
main-0194,main,Figure 2A,0.06,non_result,"{""note"": ""axis tick label""}"
main-0195,main,Figure 2B,0.838,summary,"{""dim"": 30, ""method"": ""frozen_reference_scanvi"", ""metric"": ""macro_f1"", ""population"": ""query"", ""stat"": ""mean""}"
main-0196,main,Figure 2B,0.815,summary,"{""dim"": 30, ""method"": ""sclsc_refonly"", ""metric"": ""macro_f1"", ""population"": ""query"", ""stat"": ""mean""}"
main-0197,main,Figure 2B,0.811,summary,"{""dim"": 30, ""method"": ""solar_orthogonal"", ""metric"": ""macro_f1"", ""population"": ""query"", ""stat"": ""mean""}"
main-0198,main,Figure 2B,0.807,summary,"{""dim"": 30, ""method"": ""frozen_reference_scvi"", ""metric"": ""macro_f1"", ""population"": ""query"", ""stat"": ""mean""}"
main-0199,main,Figure 2B,0.774,summary,"{""dim"": 30, ""method"": ""unintegrated_pca_matched"", ""metric"": ""macro_f1"", ""population"": ""query"", ""stat"": ""mean""}"
main-0200,main,Figure 2B,method order scANVI > SCLSC > SOLAR > scVI > Matched PCA,assertion,"{""check"": ""fig2b_order""}"
main-0201,main,Figure 2B,0,non_result,"{""note"": ""axis tick label""}"
main-0202,main,Figure 2B,0.5,non_result,"{""note"": ""axis tick label""}"
main-0203,main,Figure 2B,1.0,non_result,"{""note"": ""axis tick label""}"
main-0204,main,Figure 2,2,non_result,"{""note"": ""figure number""}"
main-0205,main,Figure 2,30-dimensional,static,"{""check"": ""common_dim"", ""note"": """", ""value"": 30}"
main-0206,main,Figure 2,15-nearest-neighbour,static,"{""check"": ""knn_neighbors"", ""note"": """", ""value"": 15}"
main-0207,main,Figure 2,five fits per batch,derived,"{""check"": ""fits_per_batch"", ""dim"": 30, ""method"": ""solar_orthogonal"", ""value"": [5]}"
main-0208,main,Figure 2,4,non_result,"{""note"": ""Figure S4, Table S3, Additional file 1""}"
main-0209,main,Figure 2,3,non_result,"{""note"": ""Figure S4, Table S3, Additional file 1""}"
main-0210,main,Figure 2,1,non_result,"{""note"": ""Figure S4, Table S3, Additional file 1""}"
main-0211,main,Table 2,0.811,summary,"{""dim"": 30, ""method"": ""solar_orthogonal"", ""metric"": ""macro_f1"", ""population"": ""query"", ""stat"": ""mean""}"
main-0212,main,Table 2,0.114,summary,"{""dim"": 30, ""method"": ""solar_orthogonal"", ""metric"": ""macro_f1"", ""population"": ""query"", ""stat"": ""sd""}"
main-0213,main,Table 2,0.837,summary,"{""dim"": 30, ""method"": ""solar_orthogonal"", ""metric"": ""balanced_accuracy"", ""population"": ""query"", ""stat"": ""mean""}"
main-0214,main,Table 2,0.082,summary,"{""dim"": 30, ""method"": ""solar_orthogonal"", ""metric"": ""balanced_accuracy"", ""population"": ""query"", ""stat"": ""sd""}"
main-0215,main,Table 2,0.774,summary,"{""dim"": 30, ""method"": ""unintegrated_pca_matched"", ""metric"": ""macro_f1"", ""population"": ""query"", ""stat"": ""mean""}"
main-0216,main,Table 2,0.127,summary,"{""dim"": 30, ""method"": ""unintegrated_pca_matched"", ""metric"": ""macro_f1"", ""population"": ""query"", ""stat"": ""sd""}"
main-0217,main,Table 2,0.803,summary,"{""dim"": 30, ""method"": ""unintegrated_pca_matched"", ""metric"": ""balanced_accuracy"", ""population"": ""query"", ""stat"": ""mean""}"
main-0218,main,Table 2,0.096,summary,"{""dim"": 30, ""method"": ""unintegrated_pca_matched"", ""metric"": ""balanced_accuracy"", ""population"": ""query"", ""stat"": ""sd""}"
main-0219,main,Table 2,0.807,summary,"{""dim"": 30, ""method"": ""frozen_reference_scvi"", ""metric"": ""macro_f1"", ""population"": ""query"", ""stat"": ""mean""}"
main-0220,main,Table 2,0.091,summary,"{""dim"": 30, ""method"": ""frozen_reference_scvi"", ""metric"": ""macro_f1"", ""population"": ""query"", ""stat"": ""sd""}"
main-0221,main,Table 2,0.855,summary,"{""dim"": 30, ""method"": ""frozen_reference_scvi"", ""metric"": ""balanced_accuracy"", ""population"": ""query"", ""stat"": ""mean""}"
