claim_id,doc,location,printed,kind,spec
sitext-0025,si,SI 2.2,repeated / unique / no-anchor pools,assertion,"{""check"": ""anchor_pools""}"
sitext-0026,si,SI 2.2,"30-, 64-, and 128-dimensional",static,"{""check"": ""within_batch_dims"", ""note"": """", ""value"": [30, 64, 128]}"
sitext-0027,si,SI 2.2,4,non_result,"{""note"": ""Tables S4, S8, S9""}"
sitext-0028,si,SI 2.2,8,non_result,"{""note"": ""Tables S4, S8, S9""}"
sitext-0029,si,SI 2.2,9,non_result,"{""note"": ""Tables S4, S8, S9""}"
sitext-0030,si,SI 2.2,128-dimensional anchor comparisons,static,"{""check"": ""anchor_control_dim"", ""note"": """", ""value"": 128}"
sitext-0031,si,Algorithm 1,1,non_result,"{""note"": ""algorithm number and line numbers""}"
sitext-0032,si,Algorithm 1,1,non_result,"{""note"": ""algorithm number and line numbers""}"
sitext-0033,si,Algorithm 1,2,non_result,"{""note"": ""algorithm number and line numbers""}"
sitext-0034,si,Algorithm 1,3,non_result,"{""note"": ""algorithm number and line numbers""}"
sitext-0035,si,Algorithm 1,4,non_result,"{""note"": ""algorithm number and line numbers""}"
sitext-0036,si,Algorithm 1,5,non_result,"{""note"": ""algorithm number and line numbers""}"
sitext-0037,si,Algorithm 1,6,non_result,"{""note"": ""algorithm number and line numbers""}"
sitext-0038,si,Algorithm 1,7,non_result,"{""note"": ""algorithm number and line numbers""}"
sitext-0039,si,Algorithm 1,8,non_result,"{""note"": ""algorithm number and line numbers""}"
sitext-0040,si,Algorithm 1,9,non_result,"{""note"": ""algorithm number and line numbers""}"
sitext-0041,si,Algorithm 1,10,non_result,"{""note"": ""algorithm number and line numbers""}"
sitext-0042,si,Algorithm 1,11,non_result,"{""note"": ""algorithm number and line numbers""}"
sitext-0043,si,Algorithm 1,12,non_result,"{""note"": ""algorithm number and line numbers""}"
sitext-0044,si,Algorithm 1,13,non_result,"{""note"": ""algorithm number and line numbers""}"
sitext-0045,si,Algorithm 1,14,non_result,"{""note"": ""algorithm number and line numbers""}"
sitext-0046,si,Algorithm 1,15,non_result,"{""note"": ""algorithm number and line numbers""}"
sitext-0047,si,Algorithm 1,16,non_result,"{""note"": ""algorithm number and line numbers""}"
sitext-0048,si,Algorithm 1,17,non_result,"{""note"": ""algorithm number and line numbers""}"
sitext-0049,si,Algorithm 1,18,non_result,"{""note"": ""algorithm number and line numbers""}"
sitext-0050,si,Algorithm 1,19,non_result,"{""note"": ""algorithm number and line numbers""}"
sitext-0051,si,Algorithm 1,20,non_result,"{""note"": ""algorithm number and line numbers""}"
sitext-0052,si,Algorithm 1,21,non_result,"{""note"": ""algorithm number and line numbers""}"
sitext-0053,si,Algorithm 1,22,non_result,"{""note"": ""algorithm number and line numbers""}"
sitext-0054,si,Algorithm 1,"V = 2B, B + K_B, or B",assertion,"{""check"": ""anchor_pools""}"
sitext-0055,si,Algorithm 1,2,non_result,"{""note"": ""V = 2B; C(a) = {1, ..., V}""}"
sitext-0056,si,Algorithm 1,1,non_result,"{""note"": ""V = 2B; C(a) = {1, ..., V}""}"
sitext-0057,si,Algorithm 1,10 epochs,static,"{""check"": ""patience"", ""note"": """", ""value"": 10}"
sitext-0058,si,SI 2.2,τ/τbase is one because both temperatures are 0.07 (τ),static,"{""check"": ""temperature"", ""note"": """", ""value"": 0.07}"
sitext-0059,si,SI 2.2,τ/τbase is one because both temperatures are 0.07 (τbase),static,"{""check"": ""base_temperature"", ""note"": """", ""value"": 0.07}"
sitext-0060,si,SI 2.3,16-dimensional / separately trained 30-dimensional,static,"{""check"": ""sclsc_dims"", ""note"": """", ""value"": [16, 30]}"
sitext-0061,si,SI 2.3,class representatives are arithmetic means; final stopped epoch retained,assertion,"{""check"": ""sclsc_final_epoch""}"
sitext-0062,si,SI 2.3,90:10,static,"{""check"": ""sclsc_validation_fraction"", ""note"": """", ""value"": 0.1}"
sitext-0063,si,SI 2.3,five fits per held-out batch,derived,"{""check"": ""fits_per_batch"", ""dim"": 30, ""method"": ""sclsc_refonly"", ""value"": [5]}"
sitext-0064,si,SI 2.3,five fits per held-out batch (16D),derived,"{""check"": ""fits_per_batch"", ""dim"": 16, ""method"": ""sclsc_refonly"", ""value"": [5]}"
sitext-0065,si,SI 2.3,early-stopping patience of 10,static,"{""check"": ""sclsc_patience"", ""note"": """", ""value"": 10}"
sitext-0066,si,SI 2.3,"normalized expression matrix and the shared reference-selected 2,000 genes",assertion,"{""check"": ""sclsc_normalized_input""}"
sitext-0067,si,SI 2.3,"2,000 genes",static,"{""check"": ""n_hvg"", ""note"": """", ""value"": 2000}"
sitext-0068,si,SI 2.3,15-nearest-neighbour,static,"{""check"": ""knn_neighbors"", ""note"": """", ""value"": 15}"
sitext-0069,si,SI 2.3,30-dimensional encoders,static,"{""check"": ""refmap_dims"", ""note"": """", ""value"": 30}"
sitext-0070,si,SI 2.3,2,non_result,"{""note"": ""Table S2""}"
sitext-0071,si,SI 2.4,15 nearest neighbours,static,"{""check"": ""knn_neighbors"", ""note"": """", ""value"": 15}"
sitext-0072,si,SI 2.4,Minkowski p = 2,static,"{""check"": ""knn_minkowski_p"", ""note"": """", ""value"": 2}"
sitext-0073,si,SI 2.4,1,non_result,"{""note"": ""macro-F1; range 0 to 1""}"
sitext-0074,si,SI 2.4,0,non_result,"{""note"": ""macro-F1; range 0 to 1""}"
sitext-0075,si,SI 2.4,1,non_result,"{""note"": ""macro-F1; range 0 to 1""}"
sitext-0076,si,SI 2.4,1,non_result,"{""note"": ""F1 in class-specific F1""}"
sitext-0077,si,SI 2.4,e2a37e0ed63dc34b60aa535cc656400552af757a,static,"{""check"": ""scib_commit"", ""note"": """", ""value"": ""e2a37e0ed63dc34b60aa535cc656400552af757a""}"
sitext-0078,si,SI 2.4,4,non_result,"{""note"": ""citation [4]""}"
sitext-0079,si,SI 2.4,1,non_result,"{""note"": ""(s+1)/2 in [0,1]; 1-|s_i|; 0 to 1; median minus 1; [0,1]; [0, B_joint - 1]""}"
sitext-0080,si,SI 2.4,2,non_result,"{""note"": ""(s+1)/2 in [0,1]; 1-|s_i|; 0 to 1; median minus 1; [0,1]; [0, B_joint - 1]""}"
sitext-0081,si,SI 2.4,0,non_result,"{""note"": ""(s+1)/2 in [0,1]; 1-|s_i|; 0 to 1; median minus 1; [0,1]; [0, B_joint - 1]""}"
sitext-0082,si,SI 2.4,1,non_result,"{""note"": ""(s+1)/2 in [0,1]; 1-|s_i|; 0 to 1; median minus 1; [0,1]; [0, B_joint - 1]""}"
sitext-0083,si,SI 2.4,1,non_result,"{""note"": ""(s+1)/2 in [0,1]; 1-|s_i|; 0 to 1; median minus 1; [0,1]; [0, B_joint - 1]""}"
sitext-0084,si,SI 2.4,0,non_result,"{""note"": ""(s+1)/2 in [0,1]; 1-|s_i|; 0 to 1; median minus 1; [0,1]; [0, B_joint - 1]""}"
sitext-0085,si,SI 2.4,1,non_result,"{""note"": ""(s+1)/2 in [0,1]; 1-|s_i|; 0 to 1; median minus 1; [0,1]; [0, B_joint - 1]""}"
sitext-0086,si,SI 2.4,1,non_result,"{""note"": ""(s+1)/2 in [0,1]; 1-|s_i|; 0 to 1; median minus 1; [0,1]; [0, B_joint - 1]""}"
sitext-0087,si,SI 2.4,0,non_result,"{""note"": ""(s+1)/2 in [0,1]; 1-|s_i|; 0 to 1; median minus 1; [0,1]; [0, B_joint - 1]""}"
sitext-0088,si,SI 2.4,1,non_result,"{""note"": ""(s+1)/2 in [0,1]; 1-|s_i|; 0 to 1; median minus 1; [0,1]; [0, B_joint - 1]""}"
sitext-0089,si,SI 2.4,1,non_result,"{""note"": ""(s+1)/2 in [0,1]; 1-|s_i|; 0 to 1; median minus 1; [0,1]; [0, B_joint - 1]""}"
sitext-0090,si,SI 2.4,1,non_result,"{""note"": ""(s+1)/2 in [0,1]; 1-|s_i|; 0 to 1; median minus 1; [0,1]; [0, B_joint - 1]""}"
sitext-0091,si,SI 2.4,50% graph-LISI subsampling,static,"{""check"": ""lisi_subsample_percent"", ""note"": """", ""value"": 50}"
sitext-0092,si,SI 2.4,5,non_result,"{""note"": ""citation [5]""}"
sitext-0093,si,SI 2.4,k = 15,static,"{""check"": ""trust_neighbors"", ""note"": """", ""value"": 15}"
sitext-0094,si,SI 2.4,0,non_result,"{""note"": ""range [0, 1]""}"
sitext-0095,si,SI 2.4,1,non_result,"{""note"": ""range [0, 1]""}"
sitext-0096,si,SI 2.4,50-component PCA,static,"{""check"": ""trust_source_components"", ""note"": """", ""value"": 50}"
sitext-0097,si,SI 2.4,"6,000 cell IDs",static,"{""check"": ""trust_max_cells"", ""note"": """", ""value"": 6000}"
sitext-0098,si,SI 2.4,sampling seed 40,static,"{""check"": ""trust_sample_seed"", ""note"": """", ""value"": 40}"
sitext-0099,si,SI 2.4,15 neighbours,static,"{""check"": ""pseudotime_neighbors"", ""note"": """", ""value"": 15}"
sitext-0100,si,SI 2.4,requests 16 neighbours,static,"{""check"": ""pseudotime_requested_neighbors"", ""note"": """", ""value"": 16}"
sitext-0101,si,SI 2.4,1,non_result,"{""note"": ""range [-1, 1]""}"
sitext-0102,si,SI 2.4,1,non_result,"{""note"": ""range [-1, 1]""}"
sitext-0103,si,SI 2.4,fewer than 16 annotated cells,static,"{""check"": ""pseudotime_min_cells"", ""note"": """", ""value"": 16}"
sitext-0104,si,SI 2.4,1,non_result,"{""note"": ""(rho+1)/2 and [0,1]""}"
sitext-0105,si,SI 2.4,1,non_result,"{""note"": ""(rho+1)/2 and [0,1]""}"
sitext-0106,si,SI 2.4,0,non_result,"{""note"": ""(rho+1)/2 and [0,1]""}"
sitext-0107,si,SI 2.4,1,non_result,"{""note"": ""(rho+1)/2 and [0,1]""}"
sitext-0108,si,SI 2.4,at least 10 cells,static,"{""check"": ""silhouette_min_cells"", ""note"": """", ""value"": 10}"
sitext-0109,si,SI 2.4,"8,000 cells",static,"{""check"": ""silhouette_cap"", ""note"": """", ""value"": 8000}"
sitext-0110,si,SI 2.4,seed-0,static,"{""check"": ""silhouette_seed"", ""note"": """", ""value"": 0}"
sitext-0111,si,SI 2.4,1,non_result,"{""note"": ""range -1 to 1""}"
sitext-0112,si,SI 2.4,1,non_result,"{""note"": ""range -1 to 1""}"
sitext-0113,si,SI 2.4,five finite scores,static,"{""check"": ""required_seed_count"", ""note"": """", ""value"": 5}"
sitext-0114,si,SI 2.4,seeds 40–44,static,"{""check"": ""model_seeds"", ""note"": """", ""value"": [40, 41, 42, 43, 44]}"
sitext-0115,si,SI 2.4,divisor 5 − 1,static,"{""check"": ""sd_ddof"", ""note"": """", ""value"": 1}"
sitext-0116,si,SI 2.4,5,non_result,"{""note"": ""divisor 5 - 1 (the 5)""}"
sitext-0117,si,SI 2.4,3,non_result,"{""note"": ""Table S3""}"
sitext-0118,si,SI 2.4,nine batch means,derived,"{""check"": ""n_real_query_batches"", ""value"": 9}"
sitext-0119,si,SI 2.4,7,non_result,"{""note"": ""Tables S7-S9""}"
sitext-0120,si,SI 2.4,9,non_result,"{""note"": ""Tables S7-S9""}"
sitext-0121,si,Table S2,Public SOLAR v1.2,static,"{""check"": ""package_version"", ""note"": """", ""value"": ""1.2""}"
sitext-0122,si,Table S2,128 / 30 (SOLAR),static,"{""check"": ""solar_dims"", ""note"": """", ""value"": [30, 128]}"
sitext-0123,si,Table S2,40 / 30 (Matched PCA),static,"{""check"": ""pca_dims"", ""note"": """", ""value"": [30, 40]}"
sitext-0124,si,Table S2,"30 (scVI, scANVI)",static,"{""check"": ""refmap_dims"", ""note"": """", ""value"": 30}"
sitext-0125,si,Table S2,16 / 30 (SCLSC),static,"{""check"": ""sclsc_dims"", ""note"": """", ""value"": [16, 30]}"
sitext-0126,si,Table S2,5,derived,"{""check"": ""fits_per_batch"", ""dim"": 30, ""method"": ""solar_orthogonal"", ""value"": [5]}"
sitext-0127,si,Table S2,1,derived,"{""check"": ""fits_per_batch"", ""dim"": 30, ""method"": ""unintegrated_pca_matched"", ""value"": [1]}"
sitext-0128,si,Table S2,5,derived,"{""check"": ""fits_per_batch"", ""dim"": 30, ""method"": ""frozen_reference_scvi"", ""value"": [5]}"
sitext-0129,si,Table S2,5,derived,"{""check"": ""fits_per_batch"", ""dim"": 30, ""method"": ""frozen_reference_scanvi"", ""value"": [5]}"
sitext-0130,si,Table S2,5,derived,"{""check"": ""fits_per_batch"", ""dim"": 30, ""method"": ""sclsc_refonly"", ""value"": [5]}"
sitext-0131,si,Table S2,90,non_result,"{""note"": ""internal 90:10 split (checked as sclsc_validation_fraction)""}"
sitext-0132,si,Table S2,10,non_result,"{""note"": ""internal 90:10 split (checked as sclsc_validation_fraction)""}"
sitext-0133,si,Table S1,1,non_result,"{""note"": ""table number""}"
sitext-0134,si,Table S3,3,non_result,"{""note"": ""table number""}"
sitext-0135,si,Table S4,4,non_result,"{""note"": ""table number""}"
sitext-0136,si,Table S5,5,non_result,"{""note"": ""table number""}"
sitext-0137,si,Table S6,6,non_result,"{""note"": ""table number""}"
sitext-0138,si,Table S7,7,non_result,"{""note"": ""table number""}"
sitext-0139,si,Table S8,8,non_result,"{""note"": ""table number""}"
sitext-0140,si,Table S9,9,non_result,"{""note"": ""table number""}"
sitext-0141,si,Table S3,All 90 held-out annotation rows,derived,"{""check"": ""n_table_s3_rows"", ""value"": 90}"
sitext-0142,si,Table S3,30-dimensional,static,"{""check"": ""common_dim"", ""note"": """", ""value"": 30}"
sitext-0143,si,Table S3,five fits,derived,"{""check"": ""fits_per_batch"", ""dim"": 30, ""method"": ""solar_orthogonal"", ""value"": [5]}"
sitext-0144,si,Table S4,five split seeds,static,"{""check"": ""split_seeds"", ""note"": """", ""value"": [40, 41, 42, 43, 44]}"
sitext-0145,si,Table S5,30-dimensional / 128-dimensional controls,static,"{""check"": ""anchor_control_dim"", ""note"": """", ""value"": 128}"
sitext-0146,si,Table S5,P: fewer than 16 annotated query cells; only immune Oetjen_A contributes,assertion,"{""check"": ""query_smoothness_only_oetjen""}"
sitext-0147,si,Table S6,30-dimensional / controls are 128-dimensional,static,"{""check"": ""anchor_control_dim"", ""note"": """", ""value"": 128}"
sitext-0148,si,Table S7,HVG overlap is disabled for embedding outputs,assertion,"{""check"": ""hvg_overlap_disabled""}"
sitext-0149,si,Table S9,128-dimensional,static,"{""check"": ""anchor_control_dim"", ""note"": """", ""value"": 128}"
sitext-0150,si,Table S9,Full paired 128-dimensional anchor contrasts,static,"{""check"": ""embedding_dim_anchor"", ""note"": """", ""value"": 128}"
