dataset_id,heldout_batch,n_reference,n_query,n_celltypes_reference,n_celltypes_query,n_celltypes_query_only,fraction_query_cells_label_supported_by_reference,selected_for_training,selection_rank_by_query_size,selection_rule
pancreas,celseq2,14097,2285,14,13,0,1.0,False,7,"Per dataset: smallest, one middle, and largest n_query among all possible held-out batches, ranked before any label-composition or metric inspection. selection_rank_by_query_size=1 is smallest."
pancreas,smartseq2,13988,2394,14,13,0,1.0,False,8,"Per dataset: smallest, one middle, and largest n_query among all possible held-out batches, ranked before any label-composition or metric inspection. selection_rank_by_query_size=1 is smallest."
pancreas,inDrop3,12777,3605,14,14,0,1.0,True,9,"Per dataset: smallest, one middle, and largest n_query among all possible held-out batches, ranked before any label-composition or metric inspection. selection_rank_by_query_size=1 is smallest."
simulation_1,Batch6,11140,957,7,4,0,1.0,True,1,"Per dataset: smallest, one middle, and largest n_query among all possible held-out batches, ranked before any label-composition or metric inspection. selection_rank_by_query_size=1 is smallest."
simulation_1,Batch5,10336,1761,7,7,0,1.0,False,2,"Per dataset: smallest, one middle, and largest n_query among all possible held-out batches, ranked before any label-composition or metric inspection. selection_rank_by_query_size=1 is smallest."
simulation_1,Batch4,10168,1929,7,5,0,1.0,False,3,"Per dataset: smallest, one middle, and largest n_query among all possible held-out batches, ranked before any label-composition or metric inspection. selection_rank_by_query_size=1 is smallest."
simulation_1,Batch3,9977,2120,7,5,0,1.0,True,4,"Per dataset: smallest, one middle, and largest n_query among all possible held-out batches, ranked before any label-composition or metric inspection. selection_rank_by_query_size=1 is smallest."
simulation_1,Batch2,9675,2422,7,6,0,1.0,False,5,"Per dataset: smallest, one middle, and largest n_query among all possible held-out batches, ranked before any label-composition or metric inspection. selection_rank_by_query_size=1 is smallest."
simulation_1,Batch1,9189,2908,7,6,0,1.0,True,6,"Per dataset: smallest, one middle, and largest n_query among all possible held-out batches, ranked before any label-composition or metric inspection. selection_rank_by_query_size=1 is smallest."
simulation_2,Batch3Sub4,18833,485,4,1,0,1.0,True,1,"Per dataset: smallest, one middle, and largest n_query among all possible held-out batches, ranked before any label-composition or metric inspection. selection_rank_by_query_size=1 is smallest."
simulation_2,Batch4Sub3,18602,716,4,1,0,1.0,False,2,"Per dataset: smallest, one middle, and largest n_query among all possible held-out batches, ranked before any label-composition or metric inspection. selection_rank_by_query_size=1 is smallest."
simulation_2,Batch4Sub4,18599,719,4,1,0,1.0,False,3,"Per dataset: smallest, one middle, and largest n_query among all possible held-out batches, ranked before any label-composition or metric inspection. selection_rank_by_query_size=1 is smallest."
simulation_2,Batch2Sub3,18334,984,4,2,0,1.0,False,4,"Per dataset: smallest, one middle, and largest n_query among all possible held-out batches, ranked before any label-composition or metric inspection. selection_rank_by_query_size=1 is smallest."
simulation_2,Batch2Sub4,18334,984,4,2,0,1.0,False,5,"Per dataset: smallest, one middle, and largest n_query among all possible held-out batches, ranked before any label-composition or metric inspection. selection_rank_by_query_size=1 is smallest."
simulation_2,Batch3Sub3,18129,1189,4,2,0,1.0,False,6,"Per dataset: smallest, one middle, and largest n_query among all possible held-out batches, ranked before any label-composition or metric inspection. selection_rank_by_query_size=1 is smallest."
simulation_2,Batch1Sub4,18126,1192,4,2,0,1.0,False,7,"Per dataset: smallest, one middle, and largest n_query among all possible held-out batches, ranked before any label-composition or metric inspection. selection_rank_by_query_size=1 is smallest."
simulation_2,Batch1Sub1,18118,1200,4,1,0,1.0,False,8,"Per dataset: smallest, one middle, and largest n_query among all possible held-out batches, ranked before any label-composition or metric inspection. selection_rank_by_query_size=1 is smallest."
simulation_2,Batch1Sub2,18114,1204,4,2,0,1.0,False,9,"Per dataset: smallest, one middle, and largest n_query among all possible held-out batches, ranked before any label-composition or metric inspection. selection_rank_by_query_size=1 is smallest."
simulation_2,Batch3Sub2,18113,1205,4,2,0,1.0,False,10,"Per dataset: smallest, one middle, and largest n_query among all possible held-out batches, ranked before any label-composition or metric inspection. selection_rank_by_query_size=1 is smallest."
simulation_2,Batch1Sub3,18108,1210,4,2,0,1.0,True,11,"Per dataset: smallest, one middle, and largest n_query among all possible held-out batches, ranked before any label-composition or metric inspection. selection_rank_by_query_size=1 is smallest."
simulation_2,Batch2Sub1,17852,1466,4,2,0,1.0,False,12,"Per dataset: smallest, one middle, and largest n_query among all possible held-out batches, ranked before any label-composition or metric inspection. selection_rank_by_query_size=1 is smallest."
simulation_2,Batch2Sub2,17847,1471,4,1,0,1.0,False,13,"Per dataset: smallest, one middle, and largest n_query among all possible held-out batches, ranked before any label-composition or metric inspection. selection_rank_by_query_size=1 is smallest."
simulation_2,Batch4Sub2,17642,1676,4,3,0,1.0,False,14,"Per dataset: smallest, one middle, and largest n_query among all possible held-out batches, ranked before any label-composition or metric inspection. selection_rank_by_query_size=1 is smallest."
simulation_2,Batch4Sub1,17631,1687,4,2,0,1.0,False,15,"Per dataset: smallest, one middle, and largest n_query among all possible held-out batches, ranked before any label-composition or metric inspection. selection_rank_by_query_size=1 is smallest."
simulation_2,Batch3Sub1,17388,1930,4,2,0,1.0,True,16,"Per dataset: smallest, one middle, and largest n_query among all possible held-out batches, ranked before any label-composition or metric inspection. selection_rank_by_query_size=1 is smallest."
